model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,9999,24,1,97.85676035298303,3e-06,1
Qwen,1.5B,SFT,9999,25,1,97.8891392717185,3e-06,1
Qwen,1.5B,SFT,9999,26,1,97.92004434260913,3e-06,1
Qwen,1.5B,SFT,9999,27,1,97.94877537132673,3e-06,1
Qwen,1.5B,SFT,9999,28,1,97.97318863218877,3e-06,1
Qwen,1.5B,SFT,9999,29,1,97.99182841542161,3e-06,1
Qwen,1.5B,SFT,9999,30,1,98.00763976078309,3e-06,1
Qwen,1.5B,SFT,9999,31,1,98.02117898882928,3e-06,1
Qwen,1.5B,SFT,9999,32,1,98.03278936255812,3e-06,1
Qwen,1.5B,SFT,9999,33,1,98.04517876644616,3e-06,1
Qwen,1.5B,SFT,9999,34,1,98.05500202192854,3e-06,1
Qwen,1.5B,SFT,9999,35,1,98.06583258815226,3e-06,1
Qwen,1.5B,SFT,9999,36,1,98.07493051512205,3e-06,1
Qwen,1.5B,SFT,9999,37,1,98.085337427825,3e-06,1
Qwen,1.5B,SFT,9999,38,1,98.0928073333445,3e-06,1
Qwen,1.5B,SFT,9999,39,1,98.09851110895711,3e-06,1
Qwen,1.5B,SFT,9999,40,1,98.10294295232495,3e-06,1
Qwen,1.5B,SFT,9999,41,1,98.10453761267992,3e-06,1
Qwen,1.5B,SFT,9999,42,1,98.10468900079584,3e-06,1
Qwen,1.5B,SFT,9999,43,1,98.104805343567,3e-06,1
Qwen,1.5B,SFT,9999,44,1,98.10216450517517,3e-06,1
Qwen,1.5B,SFT,9999,45,1,98.09791255260663,3e-06,1
Qwen,1.5B,SFT,9999,46,1,98.09182748882529,3e-06,1
Qwen,1.5B,SFT,9999,47,1,98.08479438692822,3e-06,1
Qwen,1.5B,SFT,9999,48,1,98.07646557895728,3e-06,1
Qwen,1.5B,SFT,9999,49,1,98.07013176448484,3e-06,1
Qwen,1.5B,SFT,9999,50,1,98.06131368204255,3e-06,1
Qwen,1.5B,SFT,9999,51,1,98.053709166123,3e-06,1
Qwen,1.5B,SFT,9999,52,1,98.04916447804062,3e-06,1
Qwen,1.5B,SFT,9999,53,1,98.03950245705568,3e-06,1
Qwen,1.5B,SFT,9999,54,1,98.04329849624818,3e-06,1
Qwen,1.5B,SFT,9999,55,1,98.05393990830055,3e-06,1
Qwen,1.5B,SFT,9999,56,1,98.01687281638351,3e-06,1
Qwen,1.5B,SFT,9999,57,1,97.98106586696498,3e-06,1
Qwen,1.5B,SFT,9999,58,1,97.97757312223493,3e-06,1
Qwen,1.5B,SFT,9999,59,1,97.95594211194147,3e-06,1
Qwen,1.5B,SFT,9999,60,1,97.92883223811859,3e-06,1
Qwen,1.5B,SFT,9999,61,1,97.98781601495091,3e-06,1
Qwen,1.5B,SFT,9999,62,1,98.0202499309095,3e-06,1
Qwen,1.5B,SFT,9999,63,1,97.99105029216598,3e-06,1
Qwen,1.5B,SFT,9999,64,1,97.99688783605389,3e-06,1
Qwen,1.5B,SFT,9999,65,1,98.01947375101864,3e-06,1
