model,experiment,file_name,file_path,step,sample_idx,original_size_bytes,num_layers,total_nnz,total_params,sparsity_pct,method,compressed_size_bytes,compression_ratio,space_savings_pct,preprocess_time,compress_time,decompress_time,total_time,compress_speed_mb_s,decompress_speed_mb_s,is_lossless,original_hash,decompressed_hash,indices_orig_bytes,indices_comp_bytes,values_orig_bytes,values_comp_bytes,metadata_orig_bytes,metadata_comp_bytes,error_msg
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,downcast+zstd-3,91453733,3.9799780616937745,74.87423336262246,0.5081327548250556,1.589908516034484,0.36352715361863375,2.0980412708595395,218.32831687141586,954.872412775788,True,2f1bbca872625eef,a9d0855961b423b1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,downcast+zstd-9,84616342,4.30157865959273,76.75272082332026,0.44647167809307575,6.623620819300413,0.45448700338602066,7.070092497393489,52.40669110675366,763.7667253391394,True,2f1bbca872625eef,a9d0855961b423b1,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,separate+zstd-3,91808305,3.9646070254755275,74.77681915069358,0.3126529101282358,2.3076424757018685,0.5706192813813686,2.6202953858301044,150.42280333298265,608.32513308176,True,2f1bbca872625eef,09b88d9081d50bd6,291066136,65365707,72766604,26437211,37952,5387,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,separate+zstd-9,87004945,4.1834846398673085,76.09648209365201,0.24961292650550604,10.272175303660333,0.6678317952901125,10.52178823016584,33.792457782690654,519.7746689112731,True,2f1bbca872625eef,09b88d9081d50bd6,291066136,61545589,72766604,25454296,37952,5060,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,delta-enc+zstd-3,31394293,11.59394960733787,91.3748115709672,5.31678201444447,0.9089454524219036,0.3993908138945699,6.225727466866374,381.8953594634591,869.1287786528103,True,2f1bbca872625eef,63d579c9aae2ae4f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,delta-enc+zstd-9,29522674,12.328959463495753,91.88901542777512,5.611072734929621,4.388441186398268,0.36300992500036955,9.999513921327889,79.09916882587491,956.2329467575466,True,2f1bbca872625eef,63d579c9aae2ae4f,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,combined+zstd-9,29207506,12.461996960644294,91.97560388468993,5.101243545301259,4.833133902400732,0.3824072191491723,9.93437744770199,71.82131869198071,907.728810814974,True,2f1bbca872625eef,2386c6bef4f30ceb,291066136,3748150,72766604,25454296,37952,5060,
gemma3-4b,gemma3-4b-iter1,delta_000066.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000066.pt,66,4,349249467,257,34910157,3879936512,99.10023896287919,zstd-1,96908646,3.603904103664806,72.25231384533508,0,1.1300332499668002,0.5055002924054861,1.1300332499668002,294.7437579436336,658.8922928442156,True,336b644e388ac22d,336b644e388ac22d,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000066.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000066.pt,66,4,349249467,257,34910157,3879936512,99.10023896287919,zstd-3,88673479,3.9386011571734993,74.61027506736325,0,2.4634009655565023,0.5989853572100401,2.4634009655565023,135.20748402452173,556.0574105648426,True,336b644e388ac22d,336b644e388ac22d,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000066.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000066.pt,66,4,349249467,257,34910157,3879936512,99.10023896287919,zstd-9,83984842,4.15848215800656,75.95276444616592,0,9.502736947499216,0.6550816623494029,9.502736947499216,35.04992809299267,508.4408033983731,True,336b644e388ac22d,336b644e388ac22d,0,0,0,0,0,0,
